A1-1 || Bulbasaur || Planta || 1 Rombo || Sobre Mewtwo
A1-2 || Ivysaur || Planta || 2 Rombos || Sobre Mewtwo
A1-3 || Venusaur || Planta || 3 Rombos || Sobre Mewtwo
A1-4 || Venusaur EX || Planta || 4 Rombos || Sobre Mewtwo
A1-5 || Caterpie || Planta || 1 Rombo || Sobre Pikachu
A1-6 || Metapod || Planta || 1 Rombo || Sobre Pikachu
A1-7 || Butterfree || Planta || 3 Rombos || Sobre Pikachu
A1-8 || Weedle || Planta || 1 Rombo || Sobre Mewtwo
A1-9 || Kakuna || Planta || 1 Rombo || Sobre Mewtwo
A1-10 || Beedrill || Planta || 3 Rombos || Sobre Mewtwo
A1-11 || Oddish || Planta || 1 Rombo || Sobre Charizard
A1-12 || Gloom || Planta || 2 Rombos || Sobre Charizard
A1-13 || Vileplume || Planta || 3 Rombos || Sobre Charizard
A1-14 || Paras || Planta || 1 Rombo || Sobre Pikachu
A1-15 || Parasect || Planta || 2 Rombos || Sobre Pikachu
A1-16 || Venonat || Planta || 1 Rombo || Sobre Mewtwo
A1-17 || Venomoth || Planta || 2 Rombos || Sobre Mewtwo
A1-18 || Bellsprout || Planta || 1 Rombo || Sobre Charizard
A1-19 || Weepinbell || Planta || 2 Rombos || Sobre Charizard
A1-20 || Victreebel || Planta || 3 Rombos || Sobre Charizard
A1-21 || Exeggcute || Planta || 1 Rombo || Sobre Charizard
A1-22 || Exeggutor || Planta || 3 Rombos || Sobre Charizard
A1-23 || Exeggutor EX || Planta || 4 Rombos || Sobre Charizard
A1-24 || Tangela || Planta || 1 Rombo || Sobre Charizard
A1-25 || Scyther || Planta || 1 Rombo || Sobre Mewtwo
A1-26 || Pinsir || Planta || 2 Rombos || Sobre Genes Formidables
A1-27 || Cottonee || Planta || 1 Rombo || Sobre Genes Formidables
A1-28 || Whimsicott || Planta || 2 Rombos || Sobre Genes Formidables
A1-29 || Petilil || Planta || 1 Rombo || Sobre Genes Formidables
A1-30 || Lilligant || Planta || 2 Rombos || Sobre Genes Formidables
A1-31 || Skiddo || Planta || 1 Rombo || Sobre Charizard
A1-32 || Gogoat || Planta || 1 Rombo || Sobre Charizard
A1-33 || Charmander || Fuego || 1 Rombo || Sobre Charizard
A1-34 || Charmeleon || Fuego || 2 Rombos || Sobre Charizard
A1-35 || Charizard || Fuego || 3 Rombos || Sobre Charizard
A1-36 || Charizard EX || Fuego || 4 Rombos || Sobre Charizard
A1-37 || Vulpix || Fuego || 1 Rombo || Sobre Charizard
A1-38 || Ninetales || Fuego || 2 Rombos || Sobre Charizard
A1-39 || Growlithe || Fuego || 1 Rombo || Sobre Pikachu
A1-40 || Arcanine || Fuego || 3 Rombos || Sobre Pikachu
A1-41 || Arcanine EX || Fuego || 4 Rombos || Sobre Pikachu
A1-42 || Ponyta || Fuego || 1 Rombo || Sobre Genes Formidables
A1-43 || Rapidash || Fuego || 2 Rombos || Sobre Genes Formidables
A1-44 || Magmar || Fuego || 1 Rombo || Sobre Charizard
A1-45 || Flareon || Fuego || 3 Rombos || Sobre Charizard
A1-46 || Moltres || Fuego || 3 Rombos || Sobre Charizard
A1-47 || Moltres EX || Fuego || 4 Rombos || Sobre Charizard
A1-48 || Heatmor || Fuego || 1 Rombo || Sobre Genes Formidables
A1-49 || Salandit || Fuego || 1 Rombo || Sobre Mewtwo
A1-50 || Salazzle || Fuego || 1 Rombo || Sobre Mewtwo
A1-51 || Sizzlipede || Fuego || 1 Rombo || Sobre Genes Formidables
A1-52 || Centiskorch || Fuego || 2 Rombos || Sobre Genes Formidables
A1-53 || Squirtle || Agua || 1 Rombo || Sobre Pikachu
A1-54 || Wartortle || Agua || 2 Rombos || Sobre Pikachu
A1-55 || Blastoise || Agua || 3 Rombos || Sobre Pikachu
A1-56 || Blastoise EX || Agua || 4 Rombos || Sobre Pikachu
A1-57 || Psyduck || Agua || 1 Rombo || Sobre Genes Formidables
A1-58 || Golduck || Agua || 2 Rombos || Sobre Genes Formidables
A1-59 || Poliwag || Agua || 1 Rombo || Sobre Charizard
A1-60 || Poliwhirl || Agua || 2 Rombos || Sobre Charizard
A1-61 || Poliwrath || Agua || 3 Rombos || Sobre Charizard
A1-62 || Tentacool || Agua || 1 Rombo || Sobre Mewtwo
A1-63 || Tentacruel || Agua || 2 Rombos || Sobre Mewtwo
A1-64 || Seel || Agua || 1 Rombo || Sobre Pikachu
A1-65 || Dewgong || Agua || 2 Rombos || Sobre Pikachu
A1-66 || Shellder || Agua || 1 Rombo || Sobre Mewtwo
A1-67 || Cloyster || Agua || 2 Rombos || Sobre Mewtwo
A1-68 || Krabby || Agua || 1 Rombo || Sobre Mewtwo
A1-69 || Kingler || Agua || 2 Rombos || Sobre Mewtwo
A1-70 || Horsea || Agua || 1 Rombo || Sobre Pikachu
A1-71 || Seadra || Agua || 2 Rombos || Sobre Pikachu
A1-72 || Goldeen || Agua || 1 Rombo || Sobre Pikachu
A1-73 || Seaking || Agua || 1 Rombo || Sobre Pikachu
A1-74 || Staryu || Agua || 1 Rombo || Sobre Charizard
A1-75 || Starmie || Agua || 2 Rombos || Sobre Charizard
A1-76 || Starmie EX || Agua || 4 Rombos || Sobre Charizard
A1-77 || Magikarp || Agua || 1 Rombo || Sobre Pikachu
A1-78 || Gyarados || Agua || 3 Rombos || Sobre Pikachu
A1-79 || Lapras || Agua || 3 Rombos || Sobre Charizard
A1-80 || Vaporeon || Agua || 3 Rombos || Sobre Mewtwo
A1-81 || Omanyte || Agua || 2 Rombos || Sobre Pikachu
A1-82 || Omastar || Agua || 3 Rombos || Sobre Pikachu
A1-83 || Articuno || Agua || 3 Rombos || Sobre Mewtwo
A1-84 || Articuno EX || Agua || 4 Rombos || Sobre Mewtwo
A1-85 || Ducklett || Agua || 1 Rombo || Sobre Charizard
A1-86 || Swanna || Agua || 2 Rombos || Sobre Charizard
A1-87 || Froakie || Agua || 1 Rombo || Sobre Charizard
A1-88 || Frogadier || Agua || 2 Rombos || Sobre Charizard
A1-89 || Greninja || Agua || 3 Rombos || Sobre Charizard
A1-90 || Pyukumuku || Agua || 1 Rombo || Sobre Charizard
A1-91 || Bruxish || Agua || 2 Rombos || Sobre Genes Formidables
A1-92 || Snom || Agua || 1 Rombo || Sobre Genes Formidables
A1-93 || Frosmoth || Agua || 2 Rombos || Sobre Genes Formidables
A1-94 || Pikachu || Electrico || 1 Rombo || Sobre Pikachu
A1-95 || Raichu || Electrico || 3 Rombos || Sobre Pikachu
A1-96 || Pikachu EX || Electrico || 4 Rombos || Sobre Pikachu
A1-97 || Magnemite || Electrico || 1 Rombo || Sobre Pikachu
A1-98 || Magneton || Electrico || 3 Rombos || Sobre Pikachu
A1-99 || Voltorb || Electrico || 1 Rombo || Sobre Pikachu
A1-100 || Electrode || Electrico || 2 Rombos || Sobre Pikachu
A1-101 || Electabuzz || Electrico || 1 Rombo || Sobre Pikachu
A1-102 || Jolteon || Electrico || 3 Rombos || Sobre Pikachu
A1-103 || Zapdos || Electrico || 3 Rombos || Sobre Pikachu
A1-104 || Zapdos EX || Electrico || 4 Rombos || Sobre Pikachu
A1-105 || Blitzle || Electrico || 1 Rombo || Sobre Genes Formidables
A1-106 || Zebstrika || Electrico || 2 Rombos || Sobre Genes Formidables
A1-107 || Tynamo || Electrico || 1 Rombo || Sobre Mewtwo
A1-108 || Eelektrik || Electrico || 2 Rombos || Sobre Mewtwo
A1-109 || Eelektross || Electrico || 3 Rombos || Sobre Mewtwo
A1-110 || Helioptile || Electrico || 1 Rombo || Sobre Genes Formidables
A1-111 || Heliolisk || Electrico || 1 Rombo || Sobre Genes Formidables
A1-112 || Pincurchin || Electrico || 2 Rombos || Sobre Genes Formidables
A1-113 || Clefairy || Psiquico || 1 Rombo || Sobre Pikachu
A1-114 || Clefable || Psiquico || 2 Rombos || Sobre Pikachu
A1-115 || Abra || Psiquico || 1 Rombo || Sobre Charizard
A1-116 || Kadabra || Psiquico || 2 Rombos || Sobre Charizard
A1-117 || Alakazam || Psiquico || 3 Rombos || Sobre Charizard
A1-118 || Slowpoke || Psiquico || 1 Rombo || Sobre Genes Formidables
A1-119 || Slowbro || Psiquico || 2 Rombos || Sobre Genes Formidables
A1-120 || Gastly || Psiquico || 1 Rombo || Sobre Mewtwo
A1-121 || Haunter || Psiquico || 2 Rombos || Sobre Mewtwo
A1-122 || Gengar || Psiquico || 3 Rombos || Sobre Mewtwo
A1-123 || Gengar EX || Psiquico || 4 Rombos || Sobre Mewtwo
A1-124 || Drowzee || Psiquico || 1 Rombo || Sobre Pikachu
A1-125 || Hypno || Psiquico || 3 Rombos || Sobre Pikachu
A1-126 || Mr. Mime || Psiquico || 2 Rombos || Sobre Mewtwo
A1-127 || Jynx || Psiquico || 1 Rombo || Sobre Mewtwo
A1-128 || Mewtwo || Psiquico || 3 Rombos || Sobre Mewtwo
A1-129 || Mewtwo EX || Psiquico || 4 Rombos || Sobre Mewtwo
A1-130 || Ralts || Psiquico || 1 Rombo || Sobre Mewtwo
A1-131 || Kirlia || Psiquico || 2 Rombos || Sobre Mewtwo
A1-132 || Gardevoir || Psiquico || 3 Rombos || Sobre Mewtwo
A1-133 || Woobat || Psiquico || 1 Rombo || Sobre Genes Formidables
A1-134 || Swoobat || Psiquico || 1 Rombo || Sobre Genes Formidables
A1-135 || Golett || Psiquico || 1 Rombo || Sobre Genes Formidables
A1-136 || Golurk || Psiquico || 2 Rombos || Sobre Genes Formidables
A1-137 || Sandshrew || Lucha || 1 Rombo || Sobre Genes Formidables
A1-138 || Sandslash || Lucha || 2 Rombos || Sobre Genes Formidables
A1-139 || Diglett || Lucha || 1 Rombo || Sobre Pikachu
A1-140 || Dugtrio || Lucha || 2 Rombos || Sobre Pikachu
A1-141 || Mankey || Lucha || 1 Rombo || Sobre Charizard
A1-142 || Primeape || Lucha || 2 Rombos || Sobre Charizard
A1-143 || Machop || Lucha || 1 Rombo || Sobre Charizard
A1-144 || Machoke || Lucha || 2 Rombos || Sobre Charizard
A1-145 || Machamp || Lucha || 3 Rombos || Sobre Charizard
A1-146 || Machamp EX || Lucha || 4 Rombos || Sobre Charizard
A1-147 || Geodude || Lucha || 1 Rombo || Sobre Pikachu
A1-148 || Graveler || Lucha || 2 Rombos || Sobre Pikachu
A1-149 || Golem || Lucha || 3 Rombos || Sobre Pikachu
