A1a-1 || Exeggcute || Planta || 1 Rombo || Sobre La Isla Singular
A1a-2 || Exeggutor || Planta || 2 Rombos || Sobre La Isla Singular
A1a-3 || Celebi EX || Planta || 4 Rombos || Sobre La Isla Singular
A1a-4 || Snivy || Planta || 1 Rombo || Sobre La Isla Singular
A1a-5 || Servine || Planta || 2 Rombos || Sobre La Isla Singular
A1a-6 || Serperior || Planta || 3 Rombos || Sobre La Isla Singular
A1a-7 || Morelull || Planta || 1 Rombo || Sobre La Isla Singular
A1a-8 || Shiinotic || Planta || 2 Rombos || Sobre La Isla Singular
A1a-9 || Dhelmise || Planta || 2 Rombos || Sobre La Isla Singular
A1a-10 || Ponyta || Fuego || 1 Rombo || Sobre La Isla Singular
A1a-11 || Rapidash || Fuego || 2 Rombos || Sobre La Isla Singular
A1a-12 || Magmar || Fuego || 2 Rombos || Sobre La Isla Singular
A1a-13 || Larvesta || Fuego || 1 Rombo || Sobre La Isla Singular
A1a-14 || Volcarona || Fuego || 3 Rombos || Sobre La Isla Singular
A1a-15 || Salandit || Fuego || 1 Rombo || Sobre La Isla Singular
A1a-16 || Salazzle || Fuego || 1 Rombo || Sobre La Isla Singular
A1a-17 || Magikarp || Agua || 1 Rombo || Sobre La Isla Singular
A1a-18 || Gyarados EX || Agua || 4 Rombos || Sobre La Isla Singular
A1a-19 || Vaporeon || Agua || 3 Rombos || Sobre La Isla Singular
A1a-20 || Finneon || Agua || 1 Rombo || Sobre La Isla Singular
A1a-21 || Lumineon || Agua || 2 Rombos || Sobre La Isla Singular
A1a-22 || Chewtle || Agua || 1 Rombo || Sobre La Isla Singular
A1a-23 || Drednaw || Agua || 2 Rombos || Sobre La Isla Singular
A1a-24 || Cramorant || Agua || 1 Rombo || Sobre La Isla Singular
A1a-25 || Pikachu || Electrico || 1 Rombo || Sobre La Isla Singular
A1a-26 || Raichu || Electrico || 3 Rombos || Sobre La Isla Singular
A1a-27 || Electabuzz || Electrico || 2 Rombos || Sobre La Isla Singular
A1a-28 || Joltik || Electrico || 1 Rombo || Sobre La Isla Singular
A1a-29 || Galvantula || Electrico || 2 Rombos || Sobre La Isla Singular
A1a-30 || Dedenne || Psiquico || 1 Rombo || Sobre La Isla Singular
A1a-31 || Mew || Psiquico || 3 Rombos || Sobre La Isla Singular
