A2-1 || Oddish || Planta || 1 Rombo || Sobre Pugna Espaciotemporal
A2-2 || Gloom || Planta || 1 Rombo || Sobre Pugna Espaciotemporal
A2-3 || Bellossom || Planta || 2 Rombos || Sobre Pugna Espaciotemporal
A2-4 || Tangela || Planta || 1 Rombo || Sobre Dialga
A2-5 || Tangrowth || Planta || 2 Rombos || Sobre Dialga
A2-6 || Yanma || Planta || 1 Rombo || Sobre Dialga
A2-7 || Yanmega EX || Planta || 4 Rombos || Sobre Dialga
A2-8 || Roselia || Planta || 1 Rombo || Sobre Pugna Espaciotemporal
A2-9 || Roserade || Planta || 2 Rombos || Sobre Pugna Espaciotemporal
A2-10 || Turtwig || Planta || 1 Rombo || Sobre Palkia
A2-11 || Grotle || Planta || 2 Rombos || Sobre Palkia
A2-12 || Torterra || Planta || 3 Rombos || Sobre Palkia
A2-13 || Kricketot || Planta || 1 Rombo || Sobre Palkia
A2-14 || Kricketune || Planta || 1 Rombo || Sobre Palkia
A2-15 || Burmy || Planta || 1 Rombo || Sobre Pugna Espaciotemporal
A2-16 || Wormadam || Planta || 1 Rombo || Sobre Pugna Espaciotemporal
A2-17 || Combee || Planta || 1 Rombo || Sobre Dialga
A2-18 || Vespiquen || Planta || 2 Rombos || Sobre Dialga
A2-19 || Carnivine || Planta || 2 Rombos || Sobre Palkia
A2-20 || Leafeon || Planta || 3 Rombos || Sobre Dialga
A2-21 || Rotom Corte || Planta || 1 Rombo || Sobre Pugna Espaciotemporal
A2-22 || Shaymin || Planta || 3 Rombos || Sobre Dialga
A2-23 || Magmar || Fuego || 1 Rombo || Sobre Palkia
A2-24 || Magmortar || Fuego || 3 Rombos || Sobre Palkia
A2-25 || Slugma || Fuego || 1 Rombo || Sobre Pugna Espaciotemporal
A2-26 || Magcargo || Fuego || 2 Rombos || Sobre Pugna Espaciotemporal
A2-27 || Chimchar || Fuego || 1 Rombo || Sobre Palkia
A2-28 || Monferno || Fuego || 2 Rombos || Sobre Palkia
A2-29 || Infernape EX || Fuego || 4 Rombos || Sobre Palkia
A2-30 || Rotom Calor || Fuego || 1 Rombo || Sobre Pugna Espaciotemporal
A2-31 || Swinub || Agua || 1 Rombo || Sobre Dialga
A2-32 || Piloswine || Agua || 2 Rombos || Sobre Dialga
A2-33 || Mamoswine || Agua || 3 Rombos || Sobre Dialga
A2-34 || Regice || Agua || 2 Rombos || Sobre Palkia
A2-35 || Piplup || Agua || 1 Rombo || Sobre Palkia
A2-36 || Prinplup || Agua || 2 Rombos || Sobre Palkia
A2-37 || Empoleon || Agua || 3 Rombos || Sobre Palkia
A2-38 || Buizel || Agua || 1 Rombo || Sobre Pugna Espaciotemporal
A2-39 || Floatzel || Agua || 2 Rombos || Sobre Pugna Espaciotemporal
A2-40 || Shellos || Agua || 1 Rombo || Sobre Palkia
A2-41 || Gastrodon || Agua || 2 Rombos || Sobre Palkia
A2-42 || Finneon || Agua || 1 Rombo || Sobre Pugna Espaciotemporal
A2-43 || Lumineon || Agua || 2 Rombos || Sobre Pugna Espaciotemporal
A2-44 || Snover || Agua || 1 Rombo || Sobre Pugna Espaciotemporal
A2-45 || Abomasnow || Agua || 2 Rombos || Sobre Pugna Espaciotemporal
A2-46 || Glaceon || Agua || 3 Rombos || Sobre Palkia
A2-47 || Rotom Lavado || Agua || 1 Rombo || Sobre Pugna Espaciotemporal
A2-48 || Rotom Frío || Agua || 1 Rombo || Sobre Pugna Espaciotemporal
A2-49 || Palkia EX || Agua || 4 Rombos || Sobre Palkia
A2-50 || Manaphy || Agua || 2 Rombos || Sobre Palkia
A2-51 || Magnemite || Electrico || 1 Rombo || Sobre Pugna Espaciotemporal
A2-52 || Magneton || Electrico || 2 Rombos || Sobre Pugna Espaciotemporal
A2-53 || Magnezone || Electrico || 3 Rombos || Sobre Pugna Espaciotemporal
