A4-1 || Oddish || Planta || 1 Rombo || Sobre Lugia
A4-2 || Gloom || Planta || 2 Rombos || Sobre Lugia
A4-3 || Bellossom || Planta || 3 Rombos || Sobre Lugia
A4-4 || Tangela || Planta || 1 Rombo || Sobre Ho-Oh
A4-5 || Tangrowth || Planta || 3 Rombos || Sobre Ho-Oh
A4-6 || Scyther || Planta || 1 Rombo || Sobre Lugia
A4-7 || Pinsir || Planta || 1 Rombo || Sobre Lugia
A4-8 || Chikorita || Planta || 1 Rombo || Sobre Lugia
A4-9 || Bayleef || Planta || 2 Rombos || Sobre Lugia
A4-10 || Meganium || Planta || 3 Rombos || Sobre Lugia
A4-11 || Ledyba || Planta || 1 Rombo || Sobre Lugia
A4-12 || Ledian || Planta || 1 Rombo || Sobre Lugia
A4-13 || Hoppip || Planta || 1 Rombo || Sobre Ho-Oh
A4-14 || Skiploom || Planta || 2 Rombos || Sobre Ho-Oh
A4-15 || Jumpluff || Planta || 3 Rombos || Sobre Ho-Oh
A4-16 || Sunkern || Planta || 1 Rombo || Sobre Saber Marino y Celeste
A4-17 || Sunflora || Planta || 2 Rombos || Sobre Saber Marino y Celeste
A4-18 || Yanma || Planta || 1 Rombo || Sobre Saber Marino y Celeste
A4-19 || Yanmega || Planta || 2 Rombos || Sobre Saber Marino y Celeste
A4-20 || Pineco || Planta || 1 Rombo || Sobre Saber Marino y Celeste
A4-21 || Shuckle EX || Planta || 4 Rombos || Sobre Lugia
A4-22 || Heracross || Planta || 3 Rombos || Sobre Ho-Oh
A4-23 || Cherubi || Planta || 1 Rombo || Sobre Saber Marino y Celeste
A4-24 || Cherrim || Planta || 2 Rombos || Sobre Saber Marino y Celeste
A4-25 || Vulpix || Fuego || 1 Rombo || Sobre Lugia
A4-26 || Ninetales || Fuego || 3 Rombos || Sobre Lugia
A4-27 || Cyndaquil || Fuego || 1 Rombo || Sobre Lugia
A4-28 || Quilava || Fuego || 2 Rombos || Sobre Lugia
A4-29 || Typhlosion || Fuego || 3 Rombos || Sobre Lugia
A4-30 || Slugma || Fuego || 1 Rombo || Sobre Ho-Oh
A4-31 || Magcargo || Fuego || 2 Rombos || Sobre Ho-Oh
A4-32 || Magby || Fuego || 3 Rombos || Sobre Ho-Oh
A4-33 || Entei || Fuego || 3 Rombos || Sobre Ho-Oh
A4-34 || Ho-Oh EX || Fuego || 4 Rombos || Sobre Ho-Oh
A4-35 || Darumaka || Fuego || 1 Rombo || Sobre Saber Marino y Celeste
A4-36 || Darmanitan || Fuego || 2 Rombos || Sobre Saber Marino y Celeste
A4-37 || Heatmor || Fuego || 1 Rombo || Sobre Saber Marino y Celeste
A4-38 || Poliwag || Agua || 1 Rombo || Sobre Lugia
A4-39 || Poliwhirl || Agua || 2 Rombos || Sobre Lugia
A4-40 || Politoed || Agua || 3 Rombos || Sobre Lugia
A4-41 || Horsea || Agua || 1 Rombo || Sobre Lugia
A4-42 || Seadra || Agua || 2 Rombos || Sobre Lugia
A4-43 || Kingdra EX || Agua || 4 Rombos || Sobre Lugia
A4-44 || Magikarp || Agua || 1 Rombo || Sobre Lugia
A4-45 || Gyarados || Agua || 3 Rombos || Sobre Lugia
A4-46 || Totodile || Agua || 1 Rombo || Sobre Ho-Oh
A4-47 || Croconaw || Agua || 2 Rombos || Sobre Ho-Oh
