B1-1 || Pinsir || Planta || 1 Rombo || Sobre Mega-Blaziken
B1-2 || Mega-Pinsir EX || Planta || 4 Rombos || Sobre Mega-Blaziken
B1-3 || Wurmple || Planta || 1 Rombo || Sobre Mega-Blaziken
B1-4 || Silcoon || Planta || 1 Rombo || Sobre Mega-Blaziken
B1-5 || Beautifly || Planta || 3 Rombos || Sobre Mega-Blaziken
B1-6 || Cascoon || Planta || 1 Rombo || Sobre Mega-Blaziken
B1-7 || Dustox || Planta || 3 Rombos || Sobre Mega-Blaziken
B1-8 || Seedot || Planta || 1 Rombo || Sobre Mega-Blaziken
B1-9 || Nuzleaf || Planta || 2 Rombos || Sobre Mega-Blaziken
B1-10 || Shiftry || Planta || 3 Rombos || Sobre Mega-Blaziken
B1-11 || Shroomish || Planta || 1 Rombo || Sobre Megaascenso
B1-12 || Breloom || Planta || 2 Rombos || Sobre Megaascenso
B1-13 || Pansage || Planta || 1 Rombo || Sobre Mega-Gyarados
B1-14 || Simisage || Planta || 1 Rombo || Sobre Mega-Gyarados
B1-15 || Cottonee || Planta || 1 Rombo || Sobre Mega-Altaria
B1-16 || Whimsicott EX || Planta || 4 Rombos || Sobre Mega-Altaria
B1-17 || Petilil || Planta || 1 Rombo || Sobre Mega-Altaria
B1-18 || Lilligant || Planta || 3 Rombos || Sobre Mega-Altaria
B1-19 || Maractus || Planta || 1 Rombo || Sobre Megaascenso
B1-20 || Virizion || Planta || 3 Rombos || Sobre Mega-Altaria
B1-21 || Skiddo || Planta || 1 Rombo || Sobre Mega-Altaria
B1-22 || Gogoat || Planta || 1 Rombo || Sobre Mega-Altaria
B1-23 || Phantump || Planta || 1 Rombo || Sobre Megaascenso
B1-24 || Trevenant || Planta || 2 Rombos || Sobre Megaascenso
B1-25 || Grookey || Planta || 1 Rombo || Sobre Mega-Altaria
B1-26 || Thwackey || Planta || 2 Rombos || Sobre Mega-Altaria
B1-27 || Rillaboom || Planta || 3 Rombos || Sobre Mega-Altaria
B1-28 || Growlithe || Fuego || 1 Rombo || Sobre Mega-Blaziken
B1-29 || Arcanine || Fuego || 2 Rombos || Sobre Mega-Blaziken
B1-30 || Ponyta || Fuego || 1 Rombo || Sobre Mega-Blaziken
B1-31 || Rapidash EX || Fuego || 4 Rombos || Sobre Mega-Blaziken
B1-32 || Ho-Oh || Fuego || 3 Rombos || Sobre Mega-Blaziken
B1-33 || Torchic || Fuego || 1 Rombo || Sobre Mega-Blaziken
B1-34 || Combusken || Fuego || 2 Rombos || Sobre Mega-Blaziken
B1-35 || Blaziken || Fuego || 3 Rombos || Sobre Mega-Blaziken
B1-36 || Mega-Blaziken EX || Fuego || 4 Rombos || Sobre Mega-Blaziken
