B1a-1 || Bulbasaur || Planta || 1 Rombo || Sobre Fuego Carmesí
B1a-2 || Ivysaur || Planta || 2 Rombos || Sobre Fuego Carmesí
B1a-3 || Venusaur || Planta || 3 Rombos || Sobre Fuego Carmesí
B1a-4 || Mega-Venusaur EX || Planta || 4 Rombos || Sobre Fuego Carmesí
B1a-5 || Spinarak || Planta || 1 Rombo || Sobre Fuego Carmesí
B1a-6 || Ariados || Planta || 2 Rombos || Sobre Fuego Carmesí
B1a-7 || Sunkern || Planta || 1 Rombo || Sobre Fuego Carmesí
B1a-8 || Sunflora || Planta || 2 Rombos || Sobre Fuego Carmesí
B1a-9 || Burmy || Planta || 1 Rombo || Sobre Fuego Carmesí
B1a-10 || Mothim || Planta || 1 Rombo || Sobre Fuego Carmesí
B1a-11 || Charmander || Fuego || 1 Rombo || Sobre Fuego Carmesí
B1a-12 || Charmeleon || Fuego || 2 Rombos || Sobre Fuego Carmesí
B1a-13 || Charizard || Fuego || 3 Rombos || Sobre Fuego Carmesí
B1a-14 || Mega-Charizard Y EX || Fuego || 4 Rombos || Sobre Fuego Carmesí
B1a-15 || Houndour || Fuego || 1 Rombo || Sobre Fuego Carmesí
B1a-16 || Houndoom || Fuego || 1 Rombo || Sobre Fuego Carmesí
B1a-17 || Squirtle || Agua || 1 Rombo || Sobre Fuego Carmesí
B1a-18 || Wartortle || Agua || 2 Rombos || Sobre Fuego Carmesí
B1a-19 || Blastoise || Agua || 3 Rombos || Sobre Fuego Carmesí
B1a-20 || Mega-Blastoise EX || Agua || 4 Rombos || Sobre Fuego Carmesí
B1a-21 || Basculin || Agua || 1 Rombo || Sobre Fuego Carmesí
B1a-22 || Clauncher || Agua || 1 Rombo || Sobre Fuego Carmesí
B1a-23 || Clawitzer || Agua || 2 Rombos || Sobre Fuego Carmesí
B1a-24 || Magnemite || Electrico || 1 Rombo || Sobre Fuego Carmesí
B1a-25 || Magneton || Electrico || 2 Rombos || Sobre Fuego Carmesí
B1a-26 || Magnezone || Electrico || 3 Rombos || Sobre Fuego Carmesí
B1a-27 || Emolga || Electrico || 1 Rombo || Sobre Fuego Carmesí
B1a-28 || Helioptile || Electrico || 1 Rombo || Sobre Fuego Carmesí
B1a-29 || Heliolisk || Electrico || 2 Rombos || Sobre Fuego Carmesí
B1a-30 || Misdreavus || Psiquico || 1 Rombo || Sobre Fuego Carmesí
B1a-31 || Mismagius || Psiquico || 2 Rombos || Sobre Fuego Carmesí
B1a-32 || Solosis || Psiquico || 1 Rombo || Sobre Fuego Carmesí
B1a-33 || Duosion || Psiquico || 2 Rombos || Sobre Fuego Carmesí
B1a-34 || Reuniclus || Psiquico || 3 Rombos || Sobre Fuego Carmesí
B1a-35 || Spritzee || Psiquico || 1 Rombo || Sobre Fuego Carmesí
B1a-36 || Aromatisse || Psiquico || 1 Rombo || Sobre Fuego Carmesí
B1a-37 || Xerneas || Psiquico || 3 Rombos || Sobre Fuego Carmesí
B1a-38 || Onix || Lucha || 1 Rombo || Sobre Fuego Carmesí
B1a-39 || Makuhita || Lucha || 1 Rombo || Sobre Fuego Carmesí
B1a-40 || Hariyama || Lucha || 2 Rombos || Sobre Fuego Carmesí
B1a-41 || Nosepass || Lucha || 1 Rombo || Sobre Fuego Carmesí
B1a-42 || Mega-Lopunny EX || Lucha || 4 Rombos || Sobre Fuego Carmesí
B1a-43 || Mienfoo || Lucha || 1 Rombo || Sobre Fuego Carmesí
B1a-44 || Mienshao || Lucha || 1 Rombo || Sobre Fuego Carmesí
B1a-45 || Grimer || Oscuro || 1 Rombo || Sobre Fuego Carmesí
