B2-1 || Ledyba || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-2 || Ledian || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-3 || Shuckle || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-4 || Roselia || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-5 || Roserade || Planta || 3 Rombos || Sobre Desfile de Ensueño
B2-6 || Cacnea || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-7 || Cacturne || Planta || 2 Rombos || Sobre Desfile de Ensueño
B2-8 || Chespin || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-9 || Quilladin || Planta || 2 Rombos || Sobre Desfile de Ensueño
B2-10 || Chesnaught || Planta || 3 Rombos || Sobre Desfile de Ensueño
B2-11 || Scatterbug || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-12 || Spewpa || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-13 || Vivillon || Planta || 2 Rombos || Sobre Desfile de Ensueño
B2-14 || Buzzwole || Planta || 3 Rombos || Sobre Desfile de Ensueño
B2-15 || Gossifleur || Planta || 1 Rombo || Sobre Desfile de Ensueño
B2-16 || Eldegoss || Planta || 2 Rombos || Sobre Desfile de Ensueño
B2-17 || Ogerpon Máscara Turquesa ex || Planta || 4 Rombos || Sobre Desfile de Ensueño
B2-18 || Marowak de Alola || Fuego || 2 Rombos || Sobre Desfile de Ensueño
B2-19 || Reshiram || Fuego || 3 Rombos || Sobre Desfile de Ensueño
B2-20 || Litleo || Fuego || 1 Rombo || Sobre Desfile de Ensueño
B2-21 || Pyroar || Fuego || 2 Rombos || Sobre Desfile de Ensueño
B2-22 || Oricorio || Fuego || 2 Rombos || Sobre Desfile de Ensueño
B2-23 || Blacephalon ex || Fuego || 4 Rombos || Sobre Desfile de Ensueño
B2-24 || Scorbunny || Fuego || 1 Rombo || Sobre Desfile de Ensueño
B2-25 || Raboot || Fuego || 2 Rombos || Sobre Desfile de Ensueño
B2-26 || Cinderace || Fuego || 3 Rombos || Sobre Desfile de Ensueño
