B2a-1 || Sprigatito || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-2 || Floragato || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-3 || Meowscarada ex || Planta || 4 Rombos || Sobre Encantos de Paldea
B2a-4 || Tarountula || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-5 || Spidops || Planta || 2 Rombos || Sobre Encantos de Paldea
B2a-6 || Nymble || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-7 || Smoliv || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-8 || Dolliv || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-9 || Arboliva || Planta || 3 Rombos || Sobre Encantos de Paldea
B2a-10 || Bramblin || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-11 || Brambleghast || Planta || 2 Rombos || Sobre Encantos de Paldea
B2a-12 || Capsakid || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-13 || Scovillain || Planta || 2 Rombos || Sobre Encantos de Paldea
B2a-14 || Rellor || Planta || 1 Rombo || Sobre Encantos de Paldea
B2a-15 || Wo-Chien || Planta || 3 Rombos || Sobre Encantos de Paldea
B2a-16 || Fuecoco || Fuego || 1 Rombo || Sobre Encantos de Paldea
B2a-17 || Crocalor || Fuego || 1 Rombo || Sobre Encantos de Paldea
B2a-18 || Skeledirge || Fuego || 3 Rombos || Sobre Encantos de Paldea
B2a-19 || Charcadet || Fuego || 1 Rombo || Sobre Encantos de Paldea
B2a-20 || Armarouge ex || Fuego || 4 Rombos || Sobre Encantos de Paldea
B2a-21 || Chi-Yu || Fuego || 3 Rombos || Sobre Encantos de Paldea
B2a-22 || Quaxly || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-23 || Quaxwell || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-24 || Quaquaval || Agua || 3 Rombos || Sobre Encantos de Paldea
B2a-25 || Wiglett || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-26 || Wugtrio || Agua || 2 Rombos || Sobre Encantos de Paldea
B2a-27 || Finizen || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-28 || Palafin || Agua || 3 Rombos || Sobre Encantos de Paldea
B2a-29 || Cetoddle || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-30 || Cetitan || Agua || 2 Rombos || Sobre Encantos de Paldea
B2a-31 || Veluza || Agua || 2 Rombos || Sobre Encantos de Paldea
B2a-32 || Dondozo || Agua || 2 Rombos || Sobre Encantos de Paldea
B2a-33 || Tatsugiri || Agua || 2 Rombos || Sobre Encantos de Paldea
B2a-34 || Frigibax || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-35 || Arctibax || Agua || 1 Rombo || Sobre Encantos de Paldea
B2a-36 || Baxcalibur || Agua || 3 Rombos || Sobre Encantos de Paldea
B2a-37 || Chien-Pao ex || Agua || 4 Rombos || Sobre Encantos de Paldea
B2a-38 || Pawmi || Rayo || 1 Rombo || Sobre Encantos de Paldea
B2a-39 || Pawmo || Rayo || 1 Rombo || Sobre Encantos de Paldea
B2a-40 || Pawmot || Rayo || 2 Rombos || Sobre Encantos de Paldea
B2a-41 || Tadbulb || Rayo || 1 Rombo || Sobre Encantos de Paldea
B2a-42 || Bellibolt ex || Rayo || 4 Rombos || Sobre Encantos de Paldea
B2a-43 || Wattrel || Rayo || 1 Rombo || Sobre Encantos de Paldea
B2a-44 || Kilowattrel || Rayo || 2 Rombos || Sobre Encantos de Paldea
B2a-45 || Miraidon || Rayo || 3 Rombos || Sobre Encantos de Paldea
B2a-46 || Fidough || Psíquico || 1 Rombo || Sobre Encantos de Paldea
B2a-47 || Dachsbun || Psíquico || 2 Rombos || Sobre Encantos de Paldea
B2a-48 || Ceruledge || Psíquico || 3 Rombos || Sobre Encantos de Paldea
B2a-49 || Rabsca || Psíquico || 2 Rombos || Sobre Encantos de Paldea
B2a-50 || Flittle || Psíquico || 1 Rombo || Sobre Encantos de Paldea
B2a-51 || Espathra || Psíquico || 2 Rombos || Sobre Encantos de Paldea
B2a-52 || Greavard || Psíquico || 1 Rombo || Sobre Encantos de Paldea
B2a-53 || Houndstone || Psíquico || 2 Rombos || Sobre Encantos de Paldea
B2a-54 || Gimmighoul || Psíquico || 1 Rombo || Sobre Encantos de Paldea
B2a-55 || Mankey || Lucha || 1 Rombo || Sobre Encantos de Paldea
B2a-56 || Primeape || Lucha || 1 Rombo || Sobre Encantos de Paldea
B2a-57 || Annihilape || Lucha || 2 Rombos || Sobre Encantos de Paldea
B2a-58 || Tauros de Paldea || Lucha || 2 Rombos || Sobre Encantos de Paldea
